Association,All Players,Registered players,Unregistered Players,Clubs,Officials
 China PR,"26,166,335","711,235","25,455,100","2,221","129,057"
 USA,"24,472,778","4,186,778","20,286,000","9,000","796,300"
 India,"20,587,900","384,900","20,203,000","6,540","38,640"
 Germany,"16,308,946","6,308,946","10,000,000","26,837","159,172"
 Brazil,"13,197,733","2,141,733","11,056,000","29,208","61,000"
 Mexico,"8,479,595","324,595","8,155,000",311,"85,789"
 Indonesia,"7,094,260","66,960","7,027,300",83,"1,069"
 Nigeria,"6,653,710","58,710","6,595,000",52,"33,122"
 Bangladesh,"6,280,300","271,300","6,009,000","4,100","75,604"
 Russia,"5,802,536","846,736","4,955,800","14,329","259,830"
 Italy,"4,980,296","1,513,596","3,466,700","16,697","78,481"
 Japan,"4,805,150","1,045,150","3,760,000","2,000","249,603"
 South Africa,"4,540,410","1,469,410","3,071,000",900,"20,557"
 France,"4,190,040","1,794,940","2,395,100","20,062","285,723"
 England,"4,164,110","1,485,910","2,678,200","42,490","168,186"
 Ethiopia,"3,474,245","56,245","3,418,000","1,004","310,600"
 Egypt,"3,138,110","52,110","3,086,000",608,"18,270"
 Colombia,"3,043,229","291,229","2,752,000","2,773","15,800"
 Pakistan,"2,975,400","64,400","2,911,000",720,"9,900"
 Spain,"2,834,190","653,190","2,181,000","18,190","62,573"
 Turkey,"2,748,657","197,657","2,551,000","4,450","208,027"
 Canada,"2,695,712","865,712","1,830,000","10,000","189,624"
 Argentina,"2,658,811","331,811","2,327,000","3,377","37,161"
 Chile,"2,608,337","478,337","2,130,000","5,762","26,374"
 Congo DR,"2,515,600","77,600","2,438,000",770,"10,600"
 Ukraine,"2,273,017","692,317","1,580,700",70,"15,580"
 Kenya,"2,041,102","75,102","1,966,000",711,"52,010"
 Guatemala,"2,006,649","154,649","1,852,000",139,"5,403"
 Poland,"2,000,264","656,964","1,343,300","5,891","71,758"
 Peru,"1,891,790","238,790","1,653,000","2,100","4,182"
 Vietnam,"1,874,350","24,150","1,850,200",35,"10,652"
 Iran,"1,806,544","449,644","1,356,900",120,"25,800"
 Algeria,"1,790,200","203,900","1,586,300","2,090","24,500"
 Netherlands,"1,745,860","1,138,860","607,000","4,856","11,238"
 Philippines,"1,668,765","30,675","1,638,090",85,299
 Morocco,"1,628,016","165,016","1,463,000",599,"8,651"
 Sudan,"1,567,300","46,300","1,521,000",440,"8,800"
 Venezuela,"1,490,573","60,173","1,430,400",920,"9,132"
 Mali,"1,391,625","14,175","1,377,450",140,"6,078"
 Thailand,"1,298,000","28,600","1,269,400",150,"6,600"
 Uganda,"1,191,514","46,514","1,145,000",402,"5,600"
 Cuba,"1,141,825","46,425","1,095,400",353,"5,255"
 Myanmar,"1,122,039","132,659","989,380",605,"3,750"
 Korea Republic,"1,094,227","31,127","1,063,100",100,"4,648"
 Costa Rica,"1,084,588","50,588","1,034,000",254,"4,866"
 Czech Republic,"1,040,357","686,257","354,100","4,108","12,881"
 Paraguay,"1,037,435","87,435","950,000","1,709","4,002"
 Romania,"1,034,320","108,620","925,700","2,832","20,883"
 Ecuador,"1,029,655","30,855","998,800",201,"4,455"
 Zambia,"1,024,817","29,211","995,606",918,"11,559"
 Sweden,"1,006,939","552,939","454,000","4,236","24,950"
 Ghana,"987,500","27,500","960,000",280,"5,200"
 Australia,"970,728","435,728","535,000","3,868","67,632"
 Austria,"967,281","596,281","371,000","2,311","392,802"
 Mozambique,"885,700","35,700","850,000",170,"6,100"
 Madagascar,"826,420","30,420","796,000",220,"4,788"
 Belgium,"816,583","443,383","373,200","2,058","79,645"
 Côte d'Ivoire,"801,700","23,200","778,500",220,"4,500"
 Cameroon,"785,515","22,045","763,470",223,"7,776"
 Greece,"760,621","359,221","401,400","5,768","13,330"
 Uzbekistan,"730,200","36,900","693,300",216,"1,325"
 Angola,"664,690","16,440","648,250",103,"2,059"
 Senegal,"661,685","176,685","485,000",195,"5,024"
 Zimbabwe,"651,400","34,600","616,800",350,"3,100"
 Slovakia,"622,668","428,968","193,700","2,432","18,773"
 Burkina Faso,"605,100","23,200","581,900",100,"3,100"
 Malaysia,"585,730","9,930","575,800",110,"11,810"
 Bolivia,"578,800","57,200","521,600",897,"3,300"
 Switzerland,"571,700","232,700","339,000","1,806","257,783"
 Portugal,"547,734","132,734","415,000","2,748","38,471"
