Democracy Index 2015,,,,,,,,
Rank,Country,Score,"Electoral process
and pluralism","Functioning of
government","Political
participation","Political
culture","Civil
liberties",Category
1, Norway,9.93,10,9.64,10,10,10,Full democracy
2, Iceland,9.58,10,9.29,8.89,10,9.71,Full democracy
3, Sweden,9.45,9.58,9.64,8.33,10,9.71,Full democracy
4, New Zealand,9.26,10,9.29,8.89,8.13,10,Full democracy
5, Denmark,9.11,9.17,9.29,8.33,9.38,9.41,Full democracy
6,  Switzerland,9.09,9.58,9.29,7.78,9.38,9.41,Full democracy
7, Canada,9.08,9.58,9.29,7.78,8.75,10,Full democracy
8, Finland,9.03,10,8.93,7.78,8.75,9.71,Full democracy
9, Australia,9.01,9.58,8.93,7.78,8.75,10,Full democracy
10, Netherlands,8.92,9.58,8.57,8.89,8.13,9.41,Full democracy
11, Luxembourg,8.88,10,9.29,6.67,8.75,9.71,Full democracy
12, Ireland,8.85,9.58,7.5,7.78,9.38,10,Full democracy
13, Germany,8.64,9.58,8.57,7.78,8.13,9.12,Full democracy
14, Austria,8.54,9.58,7.86,8.33,7.5,9.41,Full democracy
15, Malta,8.39,9.17,8.21,6.11,8.75,9.71,Full democracy
16, United Kingdom,8.31,9.58,7.14,6.67,8.75,9.41,Full democracy
17, Spain,8.3,9.58,7.14,7.22,8.13,9.41,Full democracy
18, Mauritius,8.28,9.17,8.21,5.56,8.75,9.71,Full democracy
19, Uruguay,8.17,10,8.93,4.44,7.5,10,Full democracy
20, United States,8.05,9.17,7.5,7.22,8.13,8.24,Full democracy
21, Italy,7.98,9.58,6.43,7.22,8.13,8.53,Flawed democracy
22, South Korea,7.97,8.75,7.86,7.22,7.5,8.53,Flawed democracy
23, Japan,7.96,9.17,8.21,6.11,7.5,8.82,Flawed democracy
23, Costa Rica,7.96,9.58,7.5,6.11,6.88,9.71,Flawed democracy
25, Czech Republic,7.94,9.58,7.14,6.67,6.88,9.41,Flawed democracy
26, Belgium,7.93,9.58,8.21,5.56,6.88,9.41,Flawed democracy
27, France,7.92,9.58,7.14,7.78,6.25,8.82,Flawed democracy
28, Botswana,7.87,9.17,7.14,6.11,7.5,9.41,Flawed democracy
29, Estonia,7.85,9.58,7.86,6.11,6.88,8.82,Flawed democracy
30, Chile,7.84,9.58,8.57,4.44,6.88,9.71,Flawed democracy
31, Taiwan,7.83,9.58,7.86,6.67,5.63,9.41,Flawed democracy
32, Cape Verde,7.81,9.17,7.86,6.67,6.25,9.12,Flawed democracy
33, Portugal,7.79,9.58,6.43,6.67,6.88,9.41,Flawed democracy
34, Israel,7.77,9.17,7.14,8.89,7.5,6.18,Flawed democracy
35, India,7.74,9.58,7.14,7.22,5.63,9.12,Flawed democracy
36, Slovenia,7.57,9.58,7.14,6.67,5.63,8.82,Flawed democracy
37, South Africa,7.56,8.33,8.21,8.33,5,7.94,Flawed democracy
38, Lithuania,7.54,9.58,6.07,6.11,6.25,9.71,Flawed democracy
39, Cyprus,7.53,9.17,6.43,6.67,6.25,9.12,Flawed democracy
40, Greece,7.45,9.58,5.36,6.67,6.25,9.41,Flawed democracy
41, Jamaica,7.39,9.17,6.79,5,6.88,9.12,Flawed democracy
42, Latvia,7.37,9.58,5.71,5.56,6.88,9.12,Flawed democracy
43, Slovakia,7.29,9.58,7.5,5.56,5,8.82,Flawed democracy
44, Timor-Leste,7.24,8.67,7.14,5.56,6.88,7.94,Flawed democracy
45, Panama,7.19,9.58,6.43,6.11,5,8.82,Flawed democracy
46, Bulgaria,7.14,9.17,6.07,7.22,5,8.24,Flawed democracy
47, Trinidad and Tobago,7.1,9.58,7.14,5.56,5,8.24,Flawed democracy
48, Poland,7.09,9.58,5.71,6.67,4.38,9.12,Flawed democracy
49, Indonesia,7.03,7.75,7.14,6.67,6.25,7.35,Flawed democracy
50, Argentina,7.02,9.17,5,6.11,6.88,7.94,Flawed democracy
51, Brazil,6.96,9.58,6.79,5.56,3.75,9.12,Flawed democracy
52, Croatia,6.93,9.17,6.07,5.56,5.63,8.24,Flawed democracy
53, Ghana,6.86,8.33,5.71,6.67,6.25,7.35,Flawed democracy
54, Philippines,6.84,8.33,5.71,6.67,4.38,9.12,Flawed democracy
